subcode,SSRT_motorsel,SSRT_stimsel,SSRT_high,SSRT_low,UPPS.lack_of_perseverance,UPPS.lack_of_premeditation,UPPS.negative_urgency,UPPS.positive_urgency,UPPS.sensation_seeking,spatial.forward_span,spatial.reverse_span,digit.forward_span,digit.reverse_span,SSS.boredom_susceptibility,SSS.disinhibition,SSS.experience_seeking,SSS.thrill_adventure_seeking,Dickman.dysfunctional,Dickman.functional
s004,-1.3583395989627254,-0.3135636964995841,-0.42365515091065054,-0.09142890198609761,-0.5218023819791899,-0.10123209081973988,-0.7453737711325131,-0.8225624814229993,-0.5611143290237259,0.4831963815597637,-0.043735167135419806,0.7697334030967454,0.0024564946904363514,-0.7297061466791194,0.3124450066307217,-1.7682713303410562,-1.3165970327133982,-0.561056905097761,0.41095036951196984
s005,0.27668921192623036,2.049954712670544,-0.38661596643995494,0.3018204208073647,-0.16508349695359278,-0.65324472782979,-0.47551964657596957,-1.0618956328904041,0.7345565978640348,0.6077232221785845,-0.6212636562313422,1.251791817277724,0.7615133540352659,-1.1927024491921543,1.0973678281664376,0.5568173552232512,-0.024052209493572698,-0.561056905097761,0.9855370849746752
s009,-1.8313820590861039,-1.2051121229667996,-1.7904010578519869,-1.4958907691056058,1.6185109281743912,2.106818456613246,1.548386287193325,2.2887684866480633,0.02782700132840324,0.9813037440350483,0.8803104154180568,-1.062088570790973,-1.4466520549678754,2.048271668399089,2.274752060470011,1.021835092252409,-0.3471884152985292,1.194554068720394,-1.0255164194608184
s011,-0.9556470431649026,-1.7044838222503613,-0.6014432363664342,-0.7249972553749405,-0.16508349695359278,0.8187889705263355,-0.07073845982211069,0.7331030025287651,-0.20774953075591043,-0.3884915027719858,0.7648047175988717,-0.0015600595928194855,2.003606396599533,1.1222790633730195,0.3124450066307217,0.5568173552232512,-0.993460826908442,-0.561056905097761,-1.3128097771921718
s012,0.320354669783773,0.015864754336002495,0.19119531129134168,0.17385833958154473,0.19163538807200356,-0.4692405155605748,0.46896978912906395,0.6134364268788297,-1.3856321917428602,-0.13943782153434292,0.4182876241413185,0.4804983545881592,1.1755443682233546,1.1222790633730195,1.0973678281664376,0.09179961819409276,-0.6703246211034856,-0.561056905097761,0.12365701146459376
s015,-0.3952736673264387,-0.22728481651883523,-0.8088626693974409,-0.8279911256303711,-1.2352401520303833,1.0027931827955512,-1.0152278955271439,-0.7028959057730634,1.2057096623153527,0.9813037440350483,1.111321811056425,-1.8333820334805389,-0.9636158717484382,-1.1927024491921543,-1.2574006364407093,0.5568173552232512,1.2684926137262529,-0.561056905097761,1.8474171581687346
s016,0.11173081557454351,0.7557715129593111,1.0801357385702595,0.9572359587964685,-1.0568807095175852,-1.3892615769066505,-0.20566552201942603,-1.0618956328904041,-1.738996990010676,-0.014910980915522048,0.07177053068376528,0.19126330607957132,-1.5156572239992234,-1.1927024491921543,-1.2574006364407093,-1.303253593311898,-0.3471884152985292,-0.561056905097761,-1.0255164194608184
s017,-0.6184526741533938,-0.7998628382092595,-0.44958258004035967,0.16137423409541388,0.5483542730976007,-1.3892615769066505,-0.6104467087732849,-0.4635627544731921,0.9701331300896938,0.6077232221785845,-0.043735167135419806,1.3482035001139212,0.485492677909873,-0.7297061466791194,1.4898292389342953,-0.8382358562827399,0.9453564079212966,-0.561056905097761,-0.45092970399811233
s018,0.3615942688709671,0.7897601626476513,1.2505159871305709,2.648832252082008,0.19163538807200356,0.45078054598790523,-0.07073845982211069,0.6134364268788297,-0.20774953075591043,1.1058305846538703,1.9198616957907164,1.3482035001139212,-0.8256055336857417,-0.2667098441660847,-0.08001640413713598,-1.303253593311898,-0.3471884152985292,-0.12215416177489333,-1.0255164194608184
s019,-0.7470231889571284,-0.14362044805317734,-1.2422211276959134,-0.26932740515456866,-0.8785212670047866,-0.65324472782979,-0.8803008333298284,-0.7028959057730634,0.02782700132840324,-0.3884915027719858,-0.7367693540505262,0.19126330607957132,-0.3425693504663045,-1.1927024491921543,-0.4724778149049939,-1.303253593311898,-0.993460826908442,-0.561056905097761,-0.7382230617294657
