subcode,SSRT_motorsel,SSRT_stimsel,SSRT_high,SSRT_low,lack_of_perseverance,lack_of_premeditation,negative_urgency,positive_urgency,sensation_seeking
s004,-1.3891235430531184,-0.31997921702475696,-0.426649938326145,-0.11519853405123551,-0.5467889741585932,-0.13105810954960342,-0.7623879850829494,-0.8378282635119102,-0.5586208134127046
s005,0.25201015351804457,1.993547920708612,-0.3895724831747632,0.26486036213339,-0.19231888056612562,-0.6700345855491187,-0.493550206814406,-1.0761728366216778,0.7448277512361009
s009,-1.8639322534851464,-1.192670316545157,-1.794808033384775,-1.4725517347106123,1.5800315873962105,2.0248477938555824,1.5227331297964113,2.260651185914021,0.03385580683049995
s011,-0.9849274100694692,-1.681479700735313,-0.6046217230492188,-0.7275156445703067,-0.19231888056612562,0.7672360167868802,-0.09029353949224253,0.7114114611176342,-0.20313484120990452
s012,0.29583864986561637,0.0024814238539377694,0.18883581717522677,0.1411904038516944,0.16215121302634114,-0.49037576028182167,0.44738201688354146,0.5922391746461714,-1.3880880819807022
s013,-0.5563821124492538,-0.12291993648828861,-0.022505677183423393,0.37646495863265306,-0.36955392736235937,0.7672360167868802,-0.8968068741365695,-0.8378282635119102,-0.20313484120990452
s015,-0.4224617069422975,-0.23552523965176547,-0.8122554718920635,-0.8270548792853277,-1.2557291613435275,0.9468948420541776,-1.0312257631901895,-0.7186559770404469,1.2188090476012974
s016,0.08643583398179941,0.72673826011374,1.0786947407905958,0.8982918557744325,-1.0784941145472942,-1.3886698866183058,-0.22471242854586268,-1.0761728366216778,-1.7435740541835028
s017,-0.6464740216071776,-0.7959925440361634,-0.4526041569323347,0.12912504206745232,0.5166213066188087,-1.3886698866183058,-0.6279690958680262,-0.4803114040975209,0.9818183994186992
s018,0.3372322297489473,0.760008008774804,1.2492510344820587,2.533148377456901,0.16215121302634114,0.40791836625228667,-0.09029353949224253,0.5922391746461714,-0.20313484120990452
